time,open,high,low,close,volume,num_trades
2021-02-09 23:00:00,46020.4,46424.93,45826.85,46131.99,2960.180557,107677
2021-02-10 00:00:00,46132,46650,46106.04,46510.25,2853.339579,77526
2021-02-10 01:00:00,46510.26,46944.07,46400.17,46563.69,3525.204228,122297
2021-02-10 02:00:00,46565.11,46844.59,46262.22,46668.89,3612.18762,106493
2021-02-10 03:00:00,46668.89,46900,46451.12,46550,3035.305488,92272
2021-02-10 04:00:00,46549.99,47310,46401,46630.17,4890.23204,158998
2021-02-10 05:00:00,46630.17,46691.94,46277.31,46586.56,2517.193741,89683
2021-02-10 06:00:00,46586.55,46593.34,44500,45652.34,9491.105424,263732
2021-02-10 07:00:00,45655.13,45969.28,45314.32,45626.32,5201.634714,194463
2021-02-10 08:00:00,45626.32,45988.2,44800,44954.12,5933.227366,175733
2021-02-10 09:00:00,44954.13,45227.27,43727,44353.04,9617.540603,221857
2021-02-10 10:00:00,44354.5,44900,43800,44746.66,5766.039915,151805
2021-02-10 11:00:00,44746.65,45071.45,44446.12,44963.31,3576.597903,98294
2021-02-10 12:00:00,44963.32,45200,44731.74,45088.17,3335.951033,88939
2021-02-10 13:00:00,45088.16,45239.98,44450.1,45190.05,3638.897317,98852
2021-02-10 14:00:00,45190.05,45240.7,44400,44555.59,2929.852963,96105
2021-02-10 15:00:00,44555.59,45028.15,44355,44999.09,2811.104073,92892
2021-02-10 16:00:00,44999.09,45216.49,44880,45199.99,1698.334185,64905
2021-02-10 17:00:00,45200,45322.09,44769.88,44807.58,2532.876152,70951
2021-02-10 18:00:00,44807.58,45051.27,43994.02,44250,4145.400343,117432
2021-02-10 19:00:00,44250,44554.91,44010.88,44180.86,2791.705197,78789
2021-02-10 20:00:00,44180.08,44698.15,44172.57,44582.07,825.571256,26744
2021-02-10 20:40:00,44582.07,44582.07,44582.07,44582.07,0,0
2021-02-10 23:00:00,44583.71,44999,44507,44641.72,2359.409846,86586
2021-02-11 00:00:00,44641.71,44918.19,44397.62,44559.99,2121.320051,79025
2021-02-11 01:00:00,44559.98,45129.59,44559.98,44700.01,2885.695032,89906
